Placement.points,Contribution,Channel
ANZPriorityBanking,0,Google Search
AOD-3rdPartyAudience-AffluentInvestors,0,AOD
AOD-3rdPartyAudience-AffluentInvestors(impression),5.374877757,AOD
AOD-AdExchange-Microsoft,1.104272505,AOD
AOD-AdExchange-Microsoft(impression),33.27378739,AOD
AOD-AdExchange-Yahoo,0.641197688,AOD
AOD-AdExchange-Yahoo(impression),31.85563119,AOD
AOD-AsianUnstoppables-AlokShetty-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-AlokShetty-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-CandiceLo-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-CandiceLo-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-ChanYiWen-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-ChanYiWen-VideoAds-AU(impression),0.516171101,AOD
AOD-AsianUnstoppables-Collage-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-Collage-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-GraceChen-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-GraceChen-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-LaiChangWen-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-LaiChangWen-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-PocketSun-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-PocketSun-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-QuekSiuRui-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-QuekSiuRui-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-RachelLim-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-RachelLim-VideoAds-AU(impression),0,AOD
AOD-AsianUnstoppables-TedChen-VideoAds-AU,0,AOD
AOD-AsianUnstoppables-TedChen-VideoAds-AU(impression),0,AOD
AOD-KeywordsTargeting,0,AOD
AOD-KeywordsTargeting(impression),19.43123335,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop,0.468903248,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop&Mobile,0,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop&Mobile(impression),3.19508247,AOD
AOD-PMP-PD-BBC-PremiumSection-Homepage/Business/Capital-Desktop(impression),6.47102447,AOD
AOD-PMP-PD-BBC-ROSIn-AppwAODTargeting,0,AOD
AOD-PMP-PD-BBC-ROSIn-AppwAODTargeting(impression),0,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop,0.342088675,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile,0.922795381,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop&Mobile(impression),4.303665832,AOD
AOD-PMP-PD-BBC-ROSwAODTargeting-Desktop(impression),7.597501015,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop,0.83599778,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop&Mobile,0,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop&Mobile(impression),4.090377169,AOD
AOD-PMP-PD-BBC-ROSwithBBCFirstPartySegmentsApplied-Desktop(impression),3.634081161,AOD
"AOD-PMP-PD-Mediacorp-ChannelNewsAsia-ROS,targetP35+withHHIabove100k",0,AOD
"AOD-PMP-PD-Mediacorp-ChannelNewsAsia-ROS,targetP35+withHHIabove100k(impression)",1.493037821,AOD
"AOD-PMP-PD-Mediacorp-TodayOnline-ROS,targetP35+withHHIabove100k",0,AOD
"AOD-PMP-PD-Mediacorp-TodayOnline-ROS,targetP35+withHHIabove100k(impression)",1.421965286,AOD
"AOD-PMP-PD-SPH-ROS,targetP35+",0,AOD
"AOD-PMP-PD-SPH-ROS,targetP35+(impression)",1.092598009,AOD
"AOD-PMP-PD-SPH-ROS,targetP35+(Mobile)",0,AOD
"AOD-PMP-PD-SPH-ROS,targetP35+(Mobile)(impression)",0,AOD
AOD-PMP-PG-Forbes-Forbes.comROS,0,AOD
AOD-PMP-PG-Forbes-Forbes.comROS(impression),1.835395729,AOD
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG",0.149193179,AOD
"AOD-PMP-PG-Forbes-RunofAsiaUnder30List,Business,Investing,LeaderhipChannels,IPSG(impression)",25.74041738,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-AT-C-Suite,0,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-AT-C-Suite(impression),2.706718157,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness,0.221627786,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofBusiness(impression),15.0950601,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews,2.791546015,AOD
AOD-PMP-PG-WSJ-WSJDNGlobal-RunofNews(impression),11.28843523,AOD
AOD-PMP-PG-WSJ-WSJDNGlobalNetwork-MobileWeb,0,AOD
AOD-PMP-PG-WSJ-WSJDNGlobalNetwork-MobileWeb(impression),6.299870119,AOD
AOD-Programmatic-,0,AOD
AOD-Programmatic-(impression),0,AOD
AOD-Propecting-MobileROE,0,AOD
AOD-Propecting-MobileROE(impression),8.959195264,AOD
AOD-Prospecting-ROE,0,AOD
AOD-Prospecting-ROE(impression),17.19030896,AOD
"AOD-Prospecting-TopSitesforBanking&Finance,Investments,RealEstateandLuxuryShoppingcategories",0,AOD
"AOD-Prospecting-TopSitesforBanking&Finance,Investments,RealEstateandLuxuryShoppingcategories(impression)",17.58415075,AOD
AOD-Remarketing-DisplayandFacebookAdExchange,0.717630796,AOD
AOD-Remarketing-DisplayandFacebookAdExchange(impression),82.20326472,AOD
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining",0.424967514,AOD
"AOD-TopSite-BankingandFinance,Investment,Local&BusinessNews,LuxuryShoppingandDining(impression)",14.02998539,AOD
Asset_Management,0,Google Search
Brand,171.212091,Google Search
BusinessTimes.com-Homepage-ExpandableSuperLeaderboard,0.519965864,Business Times
BusinessTimes.com-Homepage-ExpandableSuperLeaderboard(impression),12.63448847,Business Times
Citigold,3.419884449,Google Search
Commodity,0,Google Search
Criteo-Remarketing,1.915746954,Criteo
Criteo-Remarketing(impression),184.7849835,Criteo
DBSTreasuresCreditCard,0,Google Search
DBSTreasuresTravel,1,Google Search
Deposit,60.49651801,Google Search
Derivatives,0,Google Search
Dianomi-Desktop,2.933772337,Dianomi
Dianomi-Mobile,0,Dianomi
